metric,value
Overall % women in sample,7.6
Women % at 0-2y experience,30.2
Women % at 20y+ experience,5.2
% women job-seeking at 0-2y,15.6
% women job-seeking at 20y+,7.1
Job satisfaction gap (Woman-Man) at 0-2y,0.1
Job satisfaction gap (Woman-Man) at 20y+,0.14
